PairNumber ParticipantNumber BlockNumber TrialNumber ExperimentalCondition PartPerformed ToneSequence JointAgencyRatings MeanSynchronizationPerformance SDSynchronizationPerformance
1 11 1 1 1 0 1 6 0.60603 0.28277
1 11 1 2 1 0 1 5 0.14658 0.15771
1 11 1 3 1 0 1 5 0.43527 0.25765
1 11 1 4 1 0 1 5 0.51752 0.36743
1 11 1 5 1 0 1 4 0.67171 0.35017
1 11 2 6 0 1 5 5 0.26335 0.15693
1 11 2 7 0 1 5 6 0.96593 0.81912
1 11 2 8 0 1 5 5 0.90485 0.93056
1 11 2 9 0 1 5 5 0.32822 0.2913
1 11 2 10 0 1 5 5 0.48856 0.35227
1 11 3 11 1 1 2 5 1.0364 0.81453
1 11 3 12 1 1 2 5 0.47294 0.27646
1 11 3 13 1 1 2 6 0.25856 0.17616
1 11 3 14 1 1 2 4 0.26675 0.21877
1 11 3 15 1 1 2 5 0.21218 0.24064
1 11 4 16 0 0 6 4 0.36411 0.23161
1 11 4 17 0 0 6 5 0.38967 0.21318
1 11 4 18 0 0 6 5 0.27387 0.13854
1 11 4 19 0 0 6 5 0.64983 0.44429
1 11 4 20 0 0 6 6 0.11728 0.085983
1 11 5 21 1 0 4 6 0.45524 0.27546
1 11 5 22 1 0 4 5 0.24832 0.20564
1 11 5 23 1 0 4 5 0.29811 0.18665
1 11 5 24 1 0 4 6 0.16291 0.13518
1 11 5 25 1 0 4 4 0.24898 0.16976
1 11 6 26 0 1 8 5 0.43733 0.1585
1 11 6 27 0 1 8 4 0.89681 0.73735
1 11 6 28 0 1 8 4 1.1231 0.59004
1 11 6 29 0 1 8 5 0.29576 0.20383
1 11 6 30 0 1 8 7 0.051729 0.052037
1 11 7 31 1 1 3 5 0.40202 0.32498
1 11 7 32 1 1 3 6 0.25762 0.15554
1 11 7 33 1 1 3 5 0.35101 0.171
1 11 7 34 1 1 3 5 0.73946 0.70129
1 11 7 35 1 1 3 5 0.3653 0.21974
1 11 8 36 0 0 7 4 0.33786 0.1759
1 11 8 37 0 0 7 6 0.20117 0.12608
1 11 8 38 0 0 7 4 0.27754 0.23597
1 11 8 39 0 0 7 5 0.14826 0.064079
1 11 8 40 0 0 7 4 0.13911 0.1242
1 12 1 1 1 1 1 5 0.60603 0.28277
1 12 1 2 1 1 1 7 0.14658 0.15771
1 12 1 3 1 1 1 6 0.43527 0.25765
1 12 1 4 1 1 1 6 0.51752 0.36743
1 12 1 5 1 1 1 6 0.67171 0.35017
1 12 2 6 0 0 5 6 0.26335 0.15693
1 12 2 7 0 0 5 6 0.96593 0.81912
1 12 2 8 0 0 5 6 0.90485 0.93056
1 12 2 9 0 0 5 6 0.32822 0.2913
1 12 2 10 0 0 5 6 0.48856 0.35227
1 12 3 11 1 0 2 5 1.0364 0.81453
1 12 3 12 1 0 2 7 0.47294 0.27646
1 12 3 13 1 0 2 7 0.25856 0.17616
1 12 3 14 1 0 2 6 0.26675 0.21877
1 12 3 15 1 0 2 6 0.21218 0.24064
1 12 4 16 0 1 6 6 0.36411 0.23161
1 12 4 17 0 1 6 6 0.38967 0.21318
1 12 4 18 0 1 6 6 0.27387 0.13854
1 12 4 19 0 1 6 7 0.64983 0.44429
1 12 4 20 0 1 6 7 0.11728 0.085983
1 12 5 21 1 1 4 6 0.45524 0.27546
1 12 5 22 1 1 4 6 0.24832 0.20564
1 12 5 23 1 1 4 7 0.29811 0.18665
1 12 5 24 1 1 4 6 0.16291 0.13518
1 12 5 25 1 1 4 6 0.24898 0.16976
1 12 6 26 0 0 8 6 0.43733 0.1585
1 12 6 27 0 0 8 6 0.89681 0.73735
1 12 6 28 0 0 8 6 1.1231 0.59004
1 12 6 29 0 0 8 6 0.29576 0.20383
1 12 6 30 0 0 8 7 0.051729 0.052037
1 12 7 31 1 0 3 6 0.40202 0.32498
1 12 7 32 1 0 3 5 0.25762 0.15554
1 12 7 33 1 0 3 6 0.35101 0.171
1 12 7 34 1 0 3 5 0.73946 0.70129
1 12 7 35 1 0 3 6 0.3653 0.21974
1 12 8 36 0 1 7 6 0.33786 0.1759
1 12 8 37 0 1 7 6 0.20117 0.12608
1 12 8 38 0 1 7 6 0.27754 0.23597
1 12 8 39 0 1 7 6 0.14826 0.064079
1 12 8 40 0 1 7 7 0.13911 0.1242
